MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,Bikebought,CustomerKey
M,F,70000,5,5,Bachelors,Professional,1,3,0,16165
M,F,70000,5,5,Bachelors,Professional,1,3,0,16166
M,M,70000,5,5,Bachelors,Professional,1,3,0,16167
M,F,70000,5,5,Bachelors,Professional,1,4,0,16168
S,M,70000,5,5,Bachelors,Professional,1,4,1,16169
S,M,80000,5,5,Graduate Degree,Management,1,3,0,16170
M,M,80000,5,5,Graduate Degree,Management,1,3,0,16171
S,F,80000,5,5,Bachelors,Professional,1,4,0,16172
M,M,60000,2,2,Bachelors,Professional,1,1,0,16173
S,F,60000,3,3,Bachelors,Professional,0,1,0,16174
S,M,60000,3,3,Bachelors,Professional,0,1,0,16175
S,F,70000,0,0,Bachelors,Professional,1,1,1,16176
S,F,70000,0,0,Bachelors,Professional,0,1,0,16177
M,M,80000,5,5,Bachelors,Professional,1,4,0,16178
S,F,80000,5,5,Bachelors,Professional,1,4,0,16179
S,M,70000,0,0,Bachelors,Professional,0,1,1,16180
S,F,70000,0,0,Bachelors,Professional,0,1,0,16181
M,M,60000,3,3,Bachelors,Professional,1,2,0,16182
S,F,60000,3,3,Bachelors,Professional,1,2,0,16183
M,F,60000,4,4,Bachelors,Professional,1,1,0,16184
S,M,60000,4,4,Bachelors,Professional,1,3,0,16185
S,F,30000,0,0,Partial College,Clerical,1,1,0,16186
S,M,20000,0,0,Partial High School,Manual,0,2,0,16187
S,F,20000,0,0,Partial High School,Manual,0,2,0,16188
M,F,30000,0,0,Partial College,Clerical,0,1,0,16189
S,M,30000,0,0,Partial College,Clerical,0,1,0,16190
S,F,30000,0,0,High School,Manual,1,1,0,16191
S,F,30000,0,0,High School,Manual,0,1,0,16192
S,M,30000,0,0,High School,Manual,0,1,0,16193
S,F,30000,0,0,High School,Manual,0,1,0,16194
M,F,30000,0,0,High School,Manual,0,1,0,16195
M,M,40000,1,1,Bachelors,Skilled Manual,1,1,1,16196
S,F,20000,0,0,Partial High School,Manual,0,2,1,16197
S,M,30000,0,0,High School,Manual,1,1,0,16198
S,M,40000,2,2,Partial College,Clerical,1,0,1,16199
S,F,10000,0,0,Partial High School,Manual,0,2,0,16200
S,M,20000,0,0,Partial High School,Manual,1,2,1,16201
S,M,30000,0,0,High School,Manual,0,1,0,16202
S,M,40000,2,2,Partial College,Clerical,1,0,1,16203
S,M,40000,2,2,Partial College,Clerical,1,1,1,16204
S,F,40000,2,2,Partial College,Clerical,1,1,1,16205
S,F,40000,2,2,Partial College,Clerical,1,1,1,16206
S,M,40000,2,2,Partial College,Clerical,1,1,1,16207
S,F,40000,2,2,Partial College,Clerical,1,1,0,16208
S,F,50000,0,0,Graduate Degree,Skilled Manual,1,0,0,16209
S,F,40000,3,3,Partial College,Clerical,1,1,1,16210
S,M,40000,3,3,Partial College,Clerical,1,1,1,16211
M,F,50000,1,0,Graduate Degree,Skilled Manual,1,0,0,16212
S,F,60000,0,0,Graduate Degree,Skilled Manual,1,0,0,16213
M,M,60000,0,0,Graduate Degree,Skilled Manual,1,0,0,16214
M,M,60000,0,0,Graduate Degree,Skilled Manual,1,0,1,16215
S,M,60000,0,0,Graduate Degree,Skilled Manual,1,0,1,16216
S,F,60000,0,0,Graduate Degree,Skilled Manual,1,0,0,16217
M,F,30000,1,0,Bachelors,Skilled Manual,1,1,1,16218
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16219
M,F,30000,1,0,Bachelors,Skilled Manual,1,1,1,16220
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16221
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16222
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16223
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16224
M,M,30000,1,0,Bachelors,Skilled Manual,1,1,1,16225
M,F,30000,1,0,Partial College,Clerical,1,1,1,16226
M,M,30000,1,0,High School,Clerical,1,1,0,16227
M,M,40000,1,0,Partial College,Clerical,1,1,1,16228
M,M,40000,1,0,Partial College,Clerical,1,1,1,16229
M,M,40000,1,0,Partial College,Clerical,1,1,1,16230
M,F,40000,1,0,Partial College,Clerical,1,1,1,16231
M,M,40000,1,0,Partial College,Clerical,1,1,1,16232
S,F,80000,5,0,Graduate Degree,Skilled Manual,1,0,0,16233
M,M,40000,1,0,Partial College,Clerical,1,1,0,16234
M,M,40000,1,0,Partial College,Clerical,1,1,1,16235
M,M,40000,1,0,Partial College,Clerical,1,1,0,16236
M,F,40000,1,0,Partial College,Clerical,1,1,1,16237
M,F,40000,1,0,Partial College,Clerical,1,1,0,16238
M,M,40000,1,0,Partial College,Clerical,1,1,0,16239
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16240
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16241
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16242
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16243
M,M,80000,4,0,Graduate Degree,Skilled Manual,1,0,1,16244
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16245
S,M,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16246
S,F,60000,4,0,Graduate Degree,Skilled Manual,1,0,0,16247
S,F,60000,4,0,Graduate Degree,Skilled Manual,1,0,0,16248
M,M,60000,4,0,Graduate Degree,Skilled Manual,0,0,0,16249
S,M,40000,0,0,Graduate Degree,Clerical,1,0,1,16250
S,F,10000,3,3,High School,Manual,1,0,0,16251
S,M,10000,3,3,Partial High School,Manual,1,1,1,16252
S,F,20000,1,1,Partial College,Manual,0,1,1,16253
S,F,20000,1,1,Partial College,Manual,0,1,0,16254
S,F,20000,1,1,Partial College,Manual,0,1,0,16255
M,M,20000,1,1,Partial College,Manual,1,1,0,16256
M,F,20000,1,1,High School,Manual,1,1,0,16257
S,F,30000,1,1,Bachelors,Clerical,0,0,0,16258
S,F,10000,4,4,Partial High School,Manual,1,2,1,16259
S,F,20000,1,1,High School,Manual,0,1,1,16260
M,F,40000,0,0,Bachelors,Clerical,1,0,1,16261
M,F,40000,0,0,Bachelors,Clerical,1,0,1,16262
M,M,40000,0,0,Bachelors,Clerical,1,0,1,16263
M,F,10000,4,0,High School,Manual,0,2,0,16264
M,F,30000,1,1,Bachelors,Clerical,1,1,0,16265
M,F,30000,1,1,Bachelors,Skilled Manual,1,1,0,16266
M,M,30000,1,1,Bachelors,Skilled Manual,1,2,1,16267
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16268
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16269
M,M,30000,1,1,Bachelors,Skilled Manual,1,2,1,16270
S,F,20000,2,2,High School,Manual,1,1,1,16271
S,M,20000,2,2,High School,Manual,1,1,1,16272
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16273
M,M,10000,3,2,Partial High School,Manual,0,1,0,16274
M,F,20000,2,2,High School,Manual,0,2,1,16275
S,F,20000,3,3,High School,Manual,1,0,0,16276
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16277
M,M,30000,2,2,Partial College,Manual,0,0,1,16278
S,F,10000,3,2,Partial High School,Manual,1,2,0,16279
S,M,10000,3,2,Partial High School,Manual,1,2,0,16280
S,M,10000,3,2,Partial High School,Manual,1,2,0,16281
S,F,20000,3,3,High School,Manual,1,2,0,16282
S,M,20000,3,3,High School,Manual,1,2,0,16283
S,M,20000,3,3,High School,Manual,1,2,0,16284
M,F,40000,0,0,Bachelors,Professional,0,0,0,16285
M,M,40000,0,0,Bachelors,Professional,1,0,1,16286
M,F,40000,0,0,Bachelors,Professional,1,0,1,16287
M,M,30000,2,2,Partial College,Clerical,0,0,1,16288
S,F,30000,2,2,Partial College,Clerical,1,1,1,16289
S,M,30000,2,2,Partial College,Clerical,1,2,1,16290
S,F,30000,2,2,Partial College,Clerical,1,2,1,16291
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,0,16292
M,M,40000,1,0,Bachelors,Skilled Manual,1,0,0,16293
M,M,40000,1,0,Bachelors,Skilled Manual,1,0,0,16294
S,M,30000,2,2,Partial College,Clerical,1,2,0,16295
M,F,30000,3,3,Partial College,Clerical,0,0,0,16296
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16297
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16298
S,F,20000,0,0,High School,Manual,0,1,0,16299
S,M,20000,0,0,High School,Manual,0,1,0,16300
S,M,20000,0,0,High School,Manual,0,1,0,16301
S,F,20000,4,4,High School,Manual,1,2,0,16302
S,F,20000,5,5,High School,Manual,1,2,0,16303
S,M,20000,5,5,High School,Manual,1,2,0,16304
S,M,30000,3,3,Partial College,Clerical,1,1,1,16305
M,F,30000,3,3,Partial College,Clerical,0,2,0,16306
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16307
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16308
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16309
M,F,40000,1,0,Bachelors,Skilled Manual,1,1,1,16310
M,M,40000,1,0,Bachelors,Skilled Manual,1,1,1,16311
S,F,30000,3,3,Partial College,Clerical,1,2,0,16312
S,F,30000,4,4,Partial College,Clerical,1,1,1,16313
S,M,30000,4,4,Partial College,Clerical,1,3,0,16314
S,M,30000,5,5,Partial College,Clerical,1,3,0,16315
S,F,30000,0,0,Partial College,Clerical,0,1,1,16316
S,M,30000,0,0,Partial College,Clerical,0,1,1,16317
S,F,30000,0,0,Partial College,Clerical,0,1,1,16318
S,F,20000,0,0,High School,Manual,1,1,0,16319
S,F,20000,0,0,High School,Manual,0,1,0,16320
M,F,10000,0,0,Partial High School,Manual,1,2,0,16321
S,F,10000,0,0,Partial High School,Manual,1,2,0,16322
S,M,30000,0,0,Partial College,Clerical,1,1,0,16323
M,M,40000,1,1,Bachelors,Skilled Manual,1,0,1,16324
S,F,30000,1,0,Partial College,Clerical,1,1,0,16325
S,M,10000,0,0,Partial High School,Manual,0,2,0,16326
S,M,20000,0,0,Partial High School,Manual,0,2,1,16327
S,M,20000,0,0,Partial High School,Manual,1,2,1,16328
S,F,20000,0,0,Partial High School,Manual,0,2,1,16329
S,M,30000,0,0,Partial College,Clerical,1,1,0,16330
S,F,40000,0,0,Partial High School,Clerical,0,2,0,16331
M,F,10000,2,1,Partial High School,Clerical,0,2,0,16332
M,M,30000,0,0,Partial College,Skilled Manual,0,1,0,16333
S,F,30000,0,0,Partial College,Skilled Manual,0,1,0,16334
S,F,30000,0,0,Partial College,Skilled Manual,1,2,0,16335
M,M,60000,0,0,Partial College,Skilled Manual,1,2,0,16336
M,M,60000,0,0,Partial College,Skilled Manual,0,2,0,16337
M,F,20000,2,1,Partial High School,Clerical,1,2,0,16338
M,M,30000,3,0,Partial College,Clerical,0,2,1,16339
S,M,20000,0,0,Partial College,Skilled Manual,0,2,1,16340
M,F,30000,3,0,High School,Skilled Manual,0,2,0,16341
M,M,30000,3,0,High School,Skilled Manual,0,2,0,16342
M,M,30000,3,0,High School,Skilled Manual,0,2,0,16343
S,M,70000,0,0,Partial College,Skilled Manual,0,2,1,16344
M,M,40000,3,0,Partial College,Skilled Manual,1,2,1,16345
M,M,40000,3,0,Partial College,Skilled Manual,0,2,0,16346
M,M,70000,2,0,Graduate Degree,Management,1,2,1,16347
M,M,80000,2,0,Partial College,Skilled Manual,1,2,1,16348
S,M,80000,2,0,Partial College,Skilled Manual,0,2,1,16349
S,M,80000,2,0,Partial College,Skilled Manual,1,2,1,16350
S,F,80000,2,0,Partial College,Skilled Manual,0,2,1,16351
S,F,80000,2,0,Partial College,Skilled Manual,1,2,1,16352
M,M,30000,0,0,Partial College,Skilled Manual,1,2,0,16353
S,F,30000,0,0,High School,Skilled Manual,0,2,1,16354
S,F,30000,0,0,High School,Skilled Manual,1,2,0,16355
M,F,60000,0,0,Partial College,Skilled Manual,1,2,0,16356
S,F,30000,0,0,High School,Skilled Manual,1,2,0,16357
M,M,30000,0,0,High School,Skilled Manual,1,2,0,16358
M,F,30000,1,0,High School,Clerical,1,1,0,16359
M,M,30000,1,0,High School,Clerical,1,1,1,16360
M,M,40000,1,0,Partial College,Clerical,1,1,1,16361
M,M,40000,1,0,Partial College,Clerical,1,1,1,16362
M,F,40000,1,0,Partial College,Clerical,1,1,1,16363
M,F,40000,1,0,Partial College,Clerical,1,1,1,16364
M,F,40000,1,0,Partial College,Clerical,1,1,1,16365
M,F,40000,1,0,Partial College,Clerical,1,1,1,16366
S,F,80000,5,0,Graduate Degree,Skilled Manual,1,0,0,16367
S,F,80000,5,0,Graduate Degree,Skilled Manual,1,0,0,16368
M,F,40000,1,0,Partial College,Clerical,1,1,0,16369
M,F,40000,1,0,Partial College,Clerical,1,1,0,16370
M,M,40000,1,0,Partial College,Clerical,1,1,0,16371
M,F,40000,1,0,Partial College,Clerical,1,1,1,16372
M,F,40000,1,0,Partial College,Clerical,1,1,1,16373
M,M,40000,1,0,Partial College,Clerical,1,1,0,16374
M,F,40000,1,0,Partial College,Clerical,1,1,1,16375
M,F,40000,1,0,Partial College,Clerical,1,1,0,16376
S,F,80000,4,0,Graduate Degree,Skilled Manual,0,0,0,16377
S,F,80000,4,0,Graduate Degree,Skilled Manual,0,0,0,16378
M,M,80000,4,0,Graduate Degree,Skilled Manual,0,0,0,16379
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16380
S,F,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16381
S,F,80000,4,0,Graduate Degree,Skilled Manual,0,0,0,16382
S,M,80000,4,0,Graduate Degree,Skilled Manual,1,0,0,16383
S,F,60000,4,0,Graduate Degree,Skilled Manual,1,0,0,16384
M,M,60000,4,0,Graduate Degree,Skilled Manual,1,0,0,16385
S,M,20000,1,1,Partial College,Manual,0,0,0,16386
M,M,20000,1,1,Partial College,Manual,1,1,0,16387
M,M,30000,1,0,Bachelors,Clerical,1,0,1,16388
S,M,30000,1,0,Bachelors,Clerical,1,0,1,16389
S,M,30000,1,1,Bachelors,Clerical,0,0,1,16390
S,M,30000,1,1,Bachelors,Clerical,0,0,1,16391
M,F,40000,0,0,Graduate Degree,Clerical,1,0,1,16392
M,M,40000,0,0,Graduate Degree,Clerical,1,0,1,16393
S,M,10000,3,3,High School,Manual,1,1,1,16394
M,F,10000,3,3,High School,Manual,0,1,0,16395
S,M,10000,4,4,Partial High School,Manual,1,0,0,16396
M,M,20000,1,1,Partial College,Manual,1,1,0,16397
S,M,20000,1,1,High School,Manual,0,1,0,16398
S,M,30000,1,1,Bachelors,Clerical,0,0,0,16399
M,M,30000,1,1,Bachelors,Clerical,1,0,1,16400
S,F,30000,1,1,Bachelors,Clerical,0,1,0,16401
S,M,30000,1,1,Bachelors,Clerical,0,1,0,16402
M,M,20000,1,1,High School,Manual,1,1,0,16403
M,M,40000,0,0,Bachelors,Clerical,1,0,1,16404
M,F,40000,0,0,Bachelors,Clerical,1,0,1,16405
M,M,40000,0,0,Bachelors,Clerical,0,0,1,16406
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16407
M,M,30000,1,1,Bachelors,Skilled Manual,1,2,1,16408
M,F,30000,1,1,Bachelors,Skilled Manual,1,2,1,16409
S,F,10000,4,3,Partial High School,Manual,1,2,1,16410
S,M,10000,3,2,Partial High School,Manual,1,2,1,16411
S,F,10000,3,2,Partial High School,Manual,1,2,1,16412
M,F,10000,4,0,High School,Manual,0,2,0,16413
S,F,10000,3,2,Partial High School,Manual,1,2,1,16414
S,M,20000,3,3,High School,Manual,1,0,1,16415
S,M,30000,2,2,Partial College,Manual,1,0,1,16416
S,M,30000,2,2,Partial College,Manual,1,0,1,16417
S,F,10000,3,2,Partial High School,Manual,1,2,0,16418
M,F,20000,3,3,High School,Manual,0,1,0,16419
S,M,20000,3,3,High School,Manual,1,1,1,16420
S,F,20000,3,3,High School,Manual,1,1,0,16421
S,M,20000,3,3,High School,Manual,1,1,1,16422
S,M,10000,4,0,High School,Manual,1,2,0,16423
M,F,40000,0,0,Bachelors,Professional,0,0,1,16424
M,F,40000,0,0,Bachelors,Professional,1,0,1,16425
M,M,40000,0,0,Bachelors,Professional,1,0,1,16426
S,F,60000,0,0,Graduate Degree,Skilled Manual,1,0,1,16427
S,M,20000,4,4,High School,Manual,1,1,1,16428
M,F,30000,1,0,Partial College,Clerical,1,1,1,16429
S,M,30000,2,2,Partial College,Clerical,1,1,1,16430
S,M,30000,2,2,Partial College,Clerical,1,1,1,16431
S,M,30000,2,2,Partial College,Clerical,1,2,1,16432
M,M,30000,2,2,Partial College,Clerical,0,2,1,16433
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,0,16434
M,M,40000,1,0,Bachelors,Skilled Manual,1,0,0,16435
S,M,30000,2,2,Partial College,Clerical,1,3,1,16436
S,M,20000,0,0,High School,Manual,0,1,0,16437
M,F,10000,0,0,Partial High School,Manual,0,2,0,16438
S,F,20000,4,4,High School,Manual,1,2,0,16439
S,M,20000,4,4,High School,Manual,1,2,0,16440
M,M,20000,5,5,High School,Manual,0,2,0,16441
S,M,30000,3,3,Partial College,Clerical,1,1,1,16442
S,F,30000,3,3,Partial College,Clerical,1,2,0,16443
M,F,40000,1,0,Bachelors,Skilled Manual,1,0,1,16444
S,F,30000,1,0,Partial College,Clerical,1,1,1,16445
M,F,30000,1,0,Partial College,Clerical,1,1,1,16446
M,F,40000,1,0,Bachelors,Skilled Manual,1,1,1,16447
M,F,40000,1,0,Bachelors,Skilled Manual,1,1,1,16448
S,M,30000,4,4,Partial College,Clerical,1,2,0,16449
S,F,30000,5,5,Partial College,Clerical,1,2,0,16450
S,M,30000,0,0,Partial College,Clerical,0,1,1,16451
S,F,30000,0,0,Partial College,Clerical,0,1,1,16452
S,F,30000,0,0,Partial College,Clerical,0,1,0,16453
M,M,30000,0,0,Partial College,Clerical,0,1,0,16454
M,F,10000,4,0,High School,Manual,0,2,0,16455
S,M,20000,0,0,High School,Manual,0,1,0,16456
S,F,20000,0,0,Partial High School,Manual,0,1,0,16457
S,F,30000,0,0,Partial College,Clerical,0,1,0,16458
M,F,30000,0,0,Partial College,Clerical,0,1,0,16459
S,F,30000,0,0,Partial College,Clerical,0,1,0,16460
S,F,30000,0,0,Partial College,Clerical,0,1,1,16461
S,F,20000,0,0,Partial High School,Manual,0,1,0,16462
S,F,20000,0,0,Partial High School,Manual,0,1,0,16463
S,M,10000,0,0,Partial High School,Manual,1,2,0,16464
S,F,20000,0,0,Partial High School,Manual,0,2,1,16465
S,F,20000,0,0,Partial High School,Manual,0,2,1,16466
S,M,20000,0,0,Partial High School,Manual,1,2,0,16467
S,M,30000,0,0,Partial College,Clerical,1,1,0,16468
S,F,30000,0,0,Partial College,Clerical,1,1,0,16469
M,M,40000,1,1,Bachelors,Skilled Manual,1,0,1,16470
M,F,10000,4,0,High School,Manual,0,2,0,16471
S,F,20000,0,0,Partial High School,Manual,0,2,0,16472
S,F,10000,0,0,Partial High School,Manual,0,2,0,16473
M,M,10000,0,0,Partial High School,Manual,0,2,0,16474
S,M,20000,0,0,Partial High School,Manual,0,2,1,16475
S,M,30000,0,0,Partial College,Clerical,0,1,1,16476
S,F,40000,0,0,Partial High School,Clerical,0,2,0,16477
S,M,70000,0,0,Partial College,Skilled Manual,0,2,1,16478
S,F,60000,0,0,Partial College,Skilled Manual,1,2,0,16479
M,M,20000,2,1,Partial High School,Clerical,1,2,0,16480
S,F,20000,2,1,Partial High School,Clerical,1,2,0,16481
M,F,30000,3,0,Partial College,Clerical,0,2,1,16482
M,M,40000,2,0,Bachelors,Management,1,2,1,16483
M,M,40000,2,0,Partial College,Clerical,0,2,1,16484
S,M,40000,0,0,Partial High School,Clerical,1,2,0,16485
M,F,30000,3,0,High School,Skilled Manual,0,2,0,16486
S,F,30000,3,0,High School,Skilled Manual,1,2,0,16487
M,M,30000,3,0,High School,Skilled Manual,1,2,0,16488
M,M,30000,3,0,High School,Skilled Manual,1,2,0,16489
M,F,60000,0,0,Partial College,Skilled Manual,1,2,1,16490
S,M,70000,0,0,Partial College,Skilled Manual,1,2,1,16491
M,M,40000,2,0,Partial College,Clerical,0,2,0,16492
M,F,40000,3,0,Partial College,Skilled Manual,1,2,1,16493
S,F,80000,2,0,Partial College,Skilled Manual,0,2,1,16494
S,F,80000,2,0,Partial College,Skilled Manual,0,2,1,16495
S,F,80000,2,0,Partial College,Skilled Manual,1,2,1,16496
S,F,30000,0,0,Partial College,Skilled Manual,1,2,0,16497
S,M,30000,0,0,Partial College,Skilled Manual,1,2,0,16498
S,F,30000,0,0,High School,Skilled Manual,1,2,0,16499
S,F,30000,0,0,High School,Skilled Manual,0,2,1,16500
S,F,30000,0,0,High School,Skilled Manual,1,2,0,16501
S,M,30000,0,0,High School,Skilled Manual,1,2,0,16502
M,M,60000,0,0,Partial College,Skilled Manual,1,2,0,16503
S,M,30000,0,0,High School,Skilled Manual,0,2,1,16504
S,F,30000,0,0,High School,Skilled Manual,1,2,0,16505
M,F,60000,0,0,Partial College,Skilled Manual,1,2,0,16506
M,F,10000,2,0,Bachelors,Clerical,1,1,0,16507
M,M,10000,2,0,Bachelors,Clerical,1,1,0,16508
M,F,30000,1,0,Bachelors,Clerical,1,0,1,16509
M,M,10000,3,0,Partial College,Manual,1,1,0,16510
M,M,30000,1,0,Bachelors,Clerical,1,0,0,16511
S,M,40000,1,0,Graduate Degree,Clerical,1,0,1,16512
S,M,10000,3,0,Partial College,Manual,1,1,1,16513
S,M,10000,0,0,Partial College,Manual,1,1,1,16514
M,M,10000,0,0,Partial College,Manual,0,1,1,16515
M,M,20000,0,0,Bachelors,Clerical,1,0,1,16516
M,F,10000,1,1,High School,Manual,1,0,1,16517
S,F,10000,1,1,High School,Manual,0,0,1,16518
S,F,10000,1,1,High School,Manual,0,0,1,16519
M,F,10000,1,1,High School,Manual,1,0,1,16520
S,F,10000,1,1,High School,Manual,0,0,1,16521
M,F,10000,1,1,High School,Manual,1,0,1,16522
M,F,20000,0,0,Bachelors,Clerical,1,0,1,16523
M,M,20000,0,0,Bachelors,Clerical,1,0,1,16524
M,F,20000,0,0,Bachelors,Clerical,0,0,1,16525
S,M,20000,0,0,Bachelors,Clerical,1,0,1,16526
S,M,20000,0,0,Bachelors,Clerical,1,0,1,16527
S,F,20000,0,0,Bachelors,Clerical,1,0,1,16528
M,M,20000,0,0,Bachelors,Clerical,1,0,1,16529
M,F,30000,1,0,Bachelors,Clerical,1,0,1,16530
S,F,30000,1,0,Bachelors,Clerical,1,0,1,16531
S,M,20000,1,1,Partial College,Manual,0,0,1,16532
M,F,20000,1,1,Partial College,Manual,1,0,1,16533
M,F,30000,4,0,Graduate Degree,Clerical,1,0,1,16534
S,M,10000,1,1,High School,Manual,0,1,0,16535
S,F,10000,1,1,High School,Manual,0,1,0,16536
S,M,20000,1,1,Partial College,Manual,0,0,0,16537
S,F,20000,1,1,Partial College,Manual,0,0,1,16538
S,F,20000,1,1,Partial College,Manual,0,0,0,16539
M,M,20000,1,1,Partial College,Manual,1,0,1,16540
S,M,20000,1,1,Partial College,Manual,0,0,1,16541
M,M,20000,1,1,Partial College,Manual,1,0,0,16542
M,F,20000,1,1,Partial College,Manual,1,0,0,16543
M,M,10000,1,1,High School,Manual,1,1,0,16544
M,F,10000,1,1,High School,Manual,1,1,0,16545
M,M,20000,2,0,Partial College,Manual,1,1,1,16546
M,M,20000,2,0,Partial College,Manual,1,1,1,16547
M,M,30000,3,0,Bachelors,Clerical,1,0,1,16548
S,F,30000,3,0,Bachelors,Clerical,1,0,1,16549
M,M,30000,0,0,Bachelors,Clerical,1,0,1,16550
S,F,30000,0,0,Bachelors,Clerical,1,0,1,16551
M,M,30000,0,0,Bachelors,Clerical,1,0,1,16552
M,F,40000,3,0,Graduate Degree,Clerical,1,0,1,16553
S,F,30000,1,0,Bachelors,Clerical,1,0,1,16554
M,M,10000,1,1,High School,Manual,1,1,0,16555
S,F,20000,0,0,Partial College,Manual,0,1,0,16556
S,M,20000,0,0,Partial College,Manual,1,1,0,16557
S,M,20000,0,0,Partial College,Manual,0,1,0,16558
S,F,10000,2,2,High School,Manual,1,0,1,16559
S,M,30000,0,0,Bachelors,Clerical,1,0,1,16560
M,M,30000,0,0,Bachelors,Clerical,1,0,1,16561
M,F,40000,0,0,Graduate Degree,Clerical,1,0,1,16562
S,F,20000,2,0,Graduate Degree,Clerical,1,1,0,16563
S,F,20000,0,0,Partial College,Manual,1,1,0,16564
M,M,40000,0,0,Graduate Degree,Clerical,1,0,1,16565
S,F,40000,0,0,Graduate Degree,Clerical,1,0,1,16566
S,M,50000,0,0,Graduate Degree,Skilled Manual,1,0,1,16567
M,F,40000,1,0,Graduate Degree,Clerical,1,0,0,16568
S,F,10000,3,0,Partial College,Manual,1,2,1,16569
M,F,20000,2,0,Partial College,Manual,1,1,1,16570
M,F,20000,2,0,Partial College,Manual,1,1,0,16571
S,M,10000,2,2,High School,Manual,1,1,1,16572
S,M,20000,1,1,Partial College,Manual,0,0,1,16573
S,M,20000,1,1,Partial College,Manual,0,0,0,16574
S,F,170000,3,4,Graduate Degree,Management,0,2,1,16575
S,M,90000,5,0,Partial College,Professional,1,2,0,16576
S,F,90000,5,0,Partial College,Professional,0,2,0,16577
S,F,100000,2,3,Bachelors,Management,1,4,0,16578
M,M,70000,4,3,High School,Professional,1,1,0,16579
M,F,100000,3,4,High School,Professional,0,2,1,16580
S,M,100000,3,4,High School,Professional,1,3,0,16581
M,M,100000,3,4,High School,Professional,1,3,0,16582
M,M,100000,3,4,High School,Professional,1,3,0,16583
S,M,170000,0,4,High School,Professional,0,4,0,16584
M,M,170000,0,5,Partial High School,Professional,1,2,1,16585
M,M,100000,3,4,Partial College,Professional,1,4,0,16586
M,M,120000,3,5,Bachelors,Management,1,2,1,16587
M,M,130000,4,5,Partial College,Professional,1,2,1,16588
M,M,130000,5,5,Partial College,Professional,1,2,1,16589
M,M,150000,3,5,Bachelors,Management,1,3,0,16590
M,M,160000,3,4,Bachelors,Management,1,4,0,16591
M,F,80000,4,1,Partial College,Professional,1,2,0,16592
M,F,120000,4,5,Partial College,Professional,0,3,0,16593
M,M,170000,4,5,Bachelors,Management,0,3,1,16594
M,M,170000,4,5,Bachelors,Management,1,3,1,16595
S,F,70000,5,2,Partial High School,Skilled Manual,1,2,1,16596
S,F,100000,3,4,Partial College,Professional,1,4,0,16597
S,F,130000,4,5,High School,Professional,0,3,1,16598
M,M,150000,4,5,Bachelors,Management,1,3,0,16599
S,F,90000,4,1,High School,Management,1,3,0,16600
S,F,130000,5,5,High School,Management,0,4,0,16601
M,F,150000,4,5,High School,Management,1,4,0,16602
M,F,110000,4,5,Partial High School,Professional,1,3,1,16603
M,M,120000,5,5,High School,Management,0,4,0,16604
M,F,60000,0,0,Bachelors,Professional,1,4,0,16605
S,M,70000,0,0,Bachelors,Professional,1,3,0,16606
M,M,70000,0,0,Bachelors,Professional,1,3,1,16607
S,M,70000,0,0,Bachelors,Professional,1,3,0,16608
S,M,70000,0,0,Bachelors,Professional,0,4,0,16609
M,F,70000,0,0,Bachelors,Professional,0,4,0,16610
S,M,80000,0,0,Bachelors,Professional,0,3,0,16611
S,F,90000,0,0,Bachelors,Professional,0,2,1,16612
M,F,70000,0,0,Bachelors,Professional,1,4,0,16613
M,F,80000,0,0,Bachelors,Professional,1,3,0,16614
S,F,80000,0,0,Bachelors,Professional,0,3,0,16615
S,M,90000,0,0,Bachelors,Professional,0,2,1,16616
M,M,100000,0,5,High School,Management,1,1,0,16617
M,F,110000,0,5,Partial College,Management,1,3,0,16618
M,F,120000,5,5,Partial High School,Professional,0,4,0,16619
